cell,dataset,attack_class_paper_wording,technique_id,technique_name,tactic,confidence,verbatim_evidence,source
3,X-IIoTID,Lateral Movement (MQTT broker subscription),T0811,Data from Information Repositories,Collection,high,connect to the cloud broker to discover and obtain all the information collected from physical devices... messages containing information about the names of control systems and details of the collected measurements,Al-Hawawreh et al. 2022 Sec.III-B-4
3,X-IIoTID,Lateral Movement (Modbus register reading),T0861,Point & Tag Identification,Collection,high,connect with a PLC device... to read and discover connected register addresses and ranges of supported addresses of Modbus/TCP inputs and coils,Al-Hawawreh et al. 2022 Sec.III-B-4
3,X-IIoTID,Lateral Movement (TCP relay pivot),,IT network pivoting,,unmapped,"pivoting... open the channel between an attacker's device and the mail server through the edge gateway... mail server set up in a different network (IT, not OT)",Al-Hawawreh et al. 2022 Sec.III-B-4 + ATT&CK Enterprise
3,X-IIoTID,Command and Control (DNS tunneling),T1071.004,Application Layer Protocol: DNS,Enterprise,enterprise,DNS tunneling in a stealth mode... most common techniques and procedures used by APT,Al-Hawawreh et al. 2022 Sec.III-B-5 + ATT&CK Enterprise
3,X-IIoTID,Command and Control (DNS tunneling),T1572,Protocol Tunneling,Enterprise,enterprise,DNS tunneling in a stealth mode (based on a common port and protocol),Al-Hawawreh et al. 2022 Sec.III-B-5 + ATT&CK Enterprise
3,X-IIoTID,Exfiltration,T0882,Theft of Operational Information,Impact,medium,"leaking private and sensitive information related to IIoT devices, such as a PLC configuration, sensor data, credentials",Al-Hawawreh et al. 2022 Sec.III-B-6
3,X-IIoTID,Tampering (false data injection),T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,medium,"poisoning of cloud data (i.e., false data injections)... fabricate and inject false data to affect the accuracy of a cloud data analysis",Al-Hawawreh et al. 2022 Sec.III-B-7
3,X-IIoTID,Tampering (fake alarms),T0832,Manipulation of View,Impact,medium,send fake e-mail notifications or alarms to connected operators,Al-Hawawreh et al. 2022 Sec.III-B-7
3,X-IIoTID,Crypto-Ransomware,T1486,Data Encrypted for Impact,Enterprise,enterprise,injects malware to deny access to the data or system and force a victim to pay a fee in the form of cryptocurrency... encrypt the configuration and setting files of physical devices,Al-Hawawreh et al. 2022 Sec.III-B-8 + ATT&CK Enterprise
3,X-IIoTID,Ransom DoS (RDoS),T0814,Denial of Service,Inhibit Response Function,high,"threatening to launch massive DDoS traffic unless a ransom is paid... volumetric attacks over IIoT application protocols (e.g., CoAP)",Al-Hawawreh et al. 2022 Sec.III-B-9
2,ICS-NAD,Reconnaissance (IP + port scan),T0846,Remote System Discovery,Discovery,high,"surreptitiously collect information about target victims, e.g., IP addresses... Nmap tool to conduct IP scans",Zhou et al. 2026 Sci.Data Sec. ICS-specific attacks-1
2,ICS-NAD,Reconnaissance (port scan),T0840,Network Connection Enumeration,Discovery,high,...and open ports... port scans,Zhou et al. 2026 Sec.-1
2,ICS-NAD,Reconnaissance (OS fingerprinting),T0888,Remote System Information Discovery,Discovery,high,...operating systems (OSs)...,Zhou et al. 2026 Sec.-1
2,ICS-NAD,DoS and DDoS,T0814,Denial of Service,Inhibit Response Function,high,"send a large number of packets in a short period, resulting in a denial of service... Hping3",Zhou et al. 2026 Sec.-2
2,ICS-NAD,MitM (ARP poisoning) + FDI (ICMP redirection),T0830,Adversary-in-the-Middle,Collection,high,MitM: intercept and manipulate communication data... Arpspoof/ARP poisoning; FDI ICMP redirection changes the route message of packets to trick network routing,Zhou et al. 2026 Sec.-3/-4
2,ICS-NAD,DROPPED: FDI mislabelled (T1692.002 Reporting Msg),,,,removed,"'FDI' is network-layer packet manipulation (oversized ICMP, ICMP unreachable, wrong TCP flags), NOT forged OT reporting/command. Folds into DoS+AiTM. T1692.002 unsupported.",Zhou et al. 2026 Sec.-3 (four FDI attacks are ICMP/TCP)
2,ICS-NAD,DROPPED: FDI mislabelled (T0832 Manipulation of View),,,,removed,No operator-view manipulation; FDI is network-protocol trickery via Netwox. T0832 unsupported.,Zhou et al. 2026 Sec.-3
5,ICS-Flow,Reconnaissance (IP-Scanning),T0846,Remote System Discovery,Discovery,high,IP-Scanning... using Scapy... ARP messages to discover the alive network nodes,Dehlaghi-Ghadim et al. 2023 arXiv:2305.09678 Sec.IV-1
5,ICS-Flow,Reconnaissance (Port-Scanning),T0840,Network Connection Enumeration,Discovery,high,Port-Scanning... we use NMap... to find hosts and ports on them in the network,Dehlaghi-Ghadim et al. 2023 Sec.IV-1
5,ICS-Flow,DDoS,T0814,Denial of Service,Inhibit Response Function,high,flood the network or service with a large number of packets... a massive flood of reading requests to the PLCs... relentlessly bombards the PLCs,Dehlaghi-Ghadim et al. 2023 Sec.IV-3
5,ICS-Flow,MitM-based false data injection,T0830,Adversary-in-the-Middle,Collection,high,an attacker intercepts or manipulates communications between two ICS components while they believe they are interacting directly,Dehlaghi-Ghadim et al. 2023 Sec.IV-4
5,ICS-Flow,MitM-based false data injection,T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,high,We use a MitM attack to inject false data into the controlling system... injecting incorrect data into the controlling system,Dehlaghi-Ghadim et al. 2023 Sec.IV-4
5,ICS-Flow,MitM-based false data injection,T0832,Manipulation of View,Impact,medium,multiplying their values with a specific factor (deceives the controlling system view of the process),Dehlaghi-Ghadim et al. 2023 Sec.IV-4
5,ICS-Flow,Replay,T0830,Adversary-in-the-Middle,Collection,high,the attacker uses ARP poisoning and the MitM technique to sniff network packets for 15 seconds,Dehlaghi-Ghadim et al. 2023 Sec.IV-2
5,ICS-Flow,Replay,T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,"a replay attack on a TCP connection reuses only TCP ports, Modbus commands, and arguments to create a new TCP-Connection",Dehlaghi-Ghadim et al. 2023 Sec.IV-2
6,Rodofile,PLC memory/register manipulation,T0835,Manipulate I/O Image,Inhibit Response Function,high,the Attacker writes directly to the memory of the PLC the input validation of the HMI is bypassed,Rodofile et al. 2017 ACISP Sec.3.1 + Table 1
6,Rodofile,turning sub-processes on/off; conveyor-direction; wash-tank mode,T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,"Table 1 attacks 1.1-2.3, 3.1-3.2: Turn Conveyor Belt on/off, Change direction, Turn Wash Tank on/off (Auto/Manual), Turn Pipeline Reactor on/off via S7Comm writes",Rodofile et al. 2017 Table 1
6,Rodofile,turning sub-processes on/off; conveyor-direction; wash-tank mode,T0831,Manipulation of Control,Impact,high,attack 2.3 turns the pump on and leaves it running... the wash tank overflows,Rodofile et al. 2017 Sec.3.1
6,Rodofile,reactor-threshold manipulation,T0836,Modify Parameter,Impair Process Control,high,3.3/3.4 Change upper/lower threshold of Pipeline Reactor (type real); increasing the upper limit so that a pipe bursts,Rodofile et al. 2017 Table 1 + Sec.3.1
6,Rodofile,emergency stop; global reset,T0816,Device Restart/Shutdown,Inhibit Response Function,high,the entire process can be disrupted by sending the command for the emergency stop (4.1) or global reset (4.2)... the process has to be restarted... at least five minutes before it is operational,Rodofile et al. 2017 Sec.3.1 + Table 1
6,Rodofile,PLC memory/register manipulation,T0821,Modify Controller Tasking,Execution,removed,CONFIRMED OUT: all attacks are register-value writes and commands (Table 1 addresses); none modifies the controller program/tasking. T0821 not exercised.,Rodofile et al. 2017 Table 1 + Sec.3.1
7,HIL-WDT,scanning (SYN scan; FIN scan),T0846,Remote System Discovery,Discovery,high,we considered specific subclasses such as SYN scan and FIN scan for scanning attacks,Faramondi et al. 2021 IEEE Access Sec.III + Table 2
7,HIL-WDT,Denial of Service (DoS),T0814,Denial of Service,Inhibit Response Function,high,Figure 7 Effect of a DoS attack against PLC1r on physical process... causes the disconnection of PLC1r,Faramondi et al. 2021 Fig.7 + Table 2
7,HIL-WDT,MITM,T0830,Adversary-in-the-Middle,Collection,high,"MITM attacks... attacks against hosts (SCADA, PLC, flow sensor) or communication links",Faramondi et al. 2021 Table 2 + Fig.6
7,HIL-WDT,MITM (forge sensor value),T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,medium,a MITM attack fixes the required sensor value to the last value read by the victim before the attack... changes the water level value of T6s requested by PLC3s to PLC2s,Faramondi et al. 2021 Fig.6 + Sec.IV-A
7,HIL-WDT,MITM (falsify controller view),T0832,Manipulation of View,Impact,medium,changes the water level value... requested by PLC3s to PLC2s (T0832 covers manipulating the view of operators OR controllers; here PLC2's view is falsified),Faramondi et al. 2021 Fig.6
7,HIL-WDT,physical attacks (leaks; sensor/pump failures),T0826,Loss of Availability,Impact,medium,"physical attack against P4r... breakdown of P4r, which stops water flow towards T5r; effect-level (physical attacks have no effect on the network traffic)",Faramondi et al. 2021 Fig.8 + Sec.IV-A
7,HIL-WDT,physical attacks (leaks; sensor/pump failures),T0879,Damage to Property,Impact,medium,"leaks from tanks and pipes, sensors or actuators failures; effect-level mapping, no network vector",Faramondi et al. 2021 Sec.III (physical attacks definition)
8,MSU-GP,Reconnaissance (address scan),T0846,Remote System Discovery,Discovery,high,The address scan discovers SCADA servers connected [to the network],Morris & Gao 2014 Sec.4.1
8,MSU-GP,Reconnaissance (device identification),T0888,Remote System Information Discovery,Discovery,high,device identification attack... firmware revisions; function code scan identifies supported MODBUS function codes,Morris & Gao 2014 Sec.4.1
8,MSU-GP,Reconnaissance (points scan),T0861,Point & Tag Identification,Collection,high,The points scan allows the attacker to build a memory map,Morris & Gao 2014 Sec.4.1
8,MSU-GP,Response injection (NMRI/CMRI false measurements),T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,high,"Response injection attacks alter responses from the server to client, providing false system state information... send false process measurements",Morris & Gao 2014 Sec.4.2
8,MSU-GP,Response injection (CMRI mask state),T0832,Manipulation of View,Impact,medium,CMRI attacks attempt to mask the actual state of the physical process and are designed to appear like normal process,Morris & Gao 2014 Sec.4.2
8,MSU-GP,Command injection (MSCI commands),T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,Command injection attacks inject false control and configuration commands to alter system behavior,Morris & Gao 2014 Sec.4.3
8,MSU-GP,Command injection (MSCI to critical state),T0831,Manipulation of Control,Impact,high,MSCI attacks change the state of the process control system to drive the system from a safe state to a critical state... turn on the compressor or pump to increase the pressure,Morris & Gao 2014 Sec.4.3
8,MSU-GP,Command injection (MPCI setpoints),T0836,Modify Parameter,Impair Process Control,high,unauthorized modification of process setpoints... malicious parameter command injection (MPCI),Morris & Gao 2014 Sec.4.3
8,MSU-GP,DoS,T0814,Denial of Service,Inhibit Response Function,high,denial-of-service (DoS) attacks disrupt the communication link between the RTU and MTU or HMI,Morris & Gao 2014 Sec.4 + IJCIP taxonomy
8,MSU-GP,Reconnaissance (DROPPED T0840),T0840,Network Connection Enumeration,,removed,"Paper's recon is Modbus-specific (address/function/device/points scan), not generic TCP connection enumeration; covered by T0846/T0888/T0861.",Morris & Gao 2014 Sec.4.1
9,EDS,Information Leakage,T0846,Remote System Discovery,Discovery,high,Use scanning tools to obtain critical information such as IP addresses... of the devices on the industrial control network,Xue et al. 2024 Sec.III-B Attack Models
9,EDS,Information Leakage,T0888,Remote System Information Discovery,Discovery,high,"...device models, and operating systems of the devices",Xue et al. 2024 Sec.III-B
9,EDS,Replay Attack,T0830,Adversary-in-the-Middle,Collection,high,the man-in-the-middle attack tool of Ettercap... used [for] information leakage/replay; Resend the eavesdropped data to the receiver,Xue et al. 2024 Sec.III-C + III-B
9,EDS,Replay Attack,T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,Resend the eavesdropped data to the receiver (S7COMM control traffic replayed to the PLC; command-centric attack set),Xue et al. 2024 Sec.III-B
9,EDS,Command Injection,T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,Manipulate system behavior or gain unauthorized access by inserting malicious commands into the input,Xue et al. 2024 Sec.III-B
9,EDS,Sensor Data Tampering,T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,high,Maliciously manipulate the parameters of sensors to deceive the system,Xue et al. 2024 Sec.III-B
9,EDS,Sensor Data Tampering,T0832,Manipulation of View,Impact,high,manipulate the parameters of sensors to deceive the system (falsified sensor view),Xue et al. 2024 Sec.III-B
9,EDS,Control Parameter Tampering,T0836,Modify Parameter,Impair Process Control,high,Control Parameter Tampering... point coercion packets were created... tampering control parameters,Xue et al. 2024 Sec.III-B/III-C
9,EDS,Multi-Point Attack,T0831,Manipulation of Control,Impact,high,"design multiple control commands to execute coordinated attacks, aiming to control and disrupt the system",Xue et al. 2024 Sec.III-B
9,EDS,Physical Attack,T0879,Damage to Property,Impact,high,"Physical attacks are realized by artificially opening normally closed valves, causing liquid leakage from the reactor",Xue et al. 2024 Sec.III-C
10,SWaT,actuator manipulation (open/close valves; pumps on/off),T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,Open MV-101; Turn on P-102; Close MV-304; Turn P-101 off (11 actuator-command attacks in the 41-attack list),SWaT.A1&A2 Dec 2015 List_of_attacks_Final.xlsx (Goh et al. 2016)
10,SWaT,actuator manipulation (process impact),T0831,Manipulation of Control,Impact,high,Expected Impact: Tank overflow; Pipe bursts; Halt of stage 3 (actuator commands drive the process),SWaT.A1&A2 Dec 2015 List_of_attacks_Final.xlsx
10,SWaT,sensor spoofing (false sensor values),T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,high,Set value of AIT-202 as 6; Set value of DPIT as >40kpa; Set LIT-101 to above H (17 sensor-spoof attacks),SWaT.A1&A2 Dec 2015 List_of_attacks_Final.xlsx
10,SWaT,sensor spoofing (falsify controller/operator view),T0832,Manipulation of View,Impact,high,false sensor readings deceive the PLC/operator (Set value of ... as ...); many attacks note detection relies on the reported value,SWaT.A1&A2 Dec 2015 List_of_attacks_Final.xlsx
10,SWaT,USB infiltration of SCADA workstation [A6],T0847,Replication Through Removable Media,Initial Access,high,Infiltrate SCADA WS via USB thumb drive (A6 Dec 2019),SWaT.A6 Dec 2019 Log.docx (iTrust)
10,SWaT,historian data exfiltration [A6],T0882,Theft of Operational Information,Impact,high,"First attack: Exfiltrate Historian Data (repeated 1030-1120, A6 Dec 2019)",SWaT.A6 Dec 2019 Log.docx (iTrust)
10,SWaT,DROPPED: Modify Parameter (T0836),T0836,Modify Parameter,,removed,"CONFIRMED OUT: the 41-attack A1&A2 list has ZERO setpoint/parameter-change attacks; every 'Set value' spoofs a sensor reading (T1692.002), not a stored parameter.",SWaT.A1&A2 Dec 2015 List_of_attacks_Final.xlsx
4,MSU-PWR,Data Injection,T1692.002,Unauthorized Message: Reporting Message,Impair Process Control,high,"imitate a valid fault by changing values to parameters such as current, voltage, sequence components etc.",PowerSystem_Dataset_README (Adhikari/Pan/Morris 2014) Scenario Types-5
4,MSU-PWR,Data Injection (blind operator),T0832,Manipulation of View,Impact,high,This attack aims to blind the operator and causes a black out,PowerSystem_Dataset_README (Adhikari/Pan/Morris 2014) Scenario Types-5
4,MSU-PWR,Remote Tripping Command Injection,T1692.001,Unauthorized Message: Command Message,Impair Process Control,high,an attack that sends a command to a relay which causes a breaker to open (scenarios 15-20 Command Injection to R1-R4),PowerSystem_Dataset_README (Adhikari/Pan/Morris 2014) Scenario Types-3 + Table III
4,MSU-PWR,Remote Tripping (breaker control),T0831,Manipulation of Control,Impact,high,command to a relay which causes a breaker to open (unauthorized control of the breaker),PowerSystem_Dataset_README (Adhikari/Pan/Morris 2014) Scenario Types-3
4,MSU-PWR,Relay Setting Change,T0836,Modify Parameter,Impair Process Control,high,relays are configured with a distance protection scheme and the attacker changes the setting,PowerSystem_Dataset_README (Adhikari/Pan/Morris 2014) Scenario Types-4 + Table III
4,MSU-PWR,Relay Setting Change (disable protection),T0837,Loss of Protection,Impact,high,changes the setting to disable the relay function such that relay will not trip for a valid fault or a valid command,PowerSystem_Dataset_README (Adhikari/Pan/Morris 2014) Scenario Types-4
